product_name,product_price,Rate,Review,text,labels,sentiment_code
canon eos 3000d dslr camera 1 camera body 18  55 mm lensblack,30999.0,5.0,mindblowing purchase,nice,positive,2
flipkart smartbuy cfxb15 electric rice cooker15 l white,1499.0,2.0,moderate,very poor quality,negative,0
google nest hub 2nd gen display with google assistant smart speakercharcoal,6999.0,5.0,awesome,far better and cheaper than alexa,positive,2
wd 15 tb wired external hard disk drive hddblack,4449.0,5.0,fabulous,i would like to suggest this for persons looking to seggregate there data in different categories,positive,2
oneplus bullets wireless z2 bluetooth headsetacoustic red in the ear,1999.0,5.0,super,the product is amazing the sound quality and battery back up is very good i love this productthak you for 1,positive,2
inalsa inox 1000 plus 1000 w food processorblacksilver,11595.0,5.0,just wow,good product,positive,2
hindware ripple 90 auto clean wall mounted chimneyblack 1350 cmh,14299.0,5.0,classy product,good but pipe r so bad quality,negative,0
bajaj crest neo 1200 mm 3 blade ceiling fanwhite pack of 1,1329.0,4.0,good choice,i loved it,positive,2
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,3.0,fair,this product is very nice and good the motor was working good at very speed and very cool,positive,2
pigeon favourite electric kettle15 l silver black,699.0,5.0,must buy,its really helpful to us thank you flipkart,positive,2
maharaja whiteline 65 l desert air coolerwhite grey rambo grey  ac303,7999.0,5.0,great product,happy,positive,2
bluechip bl55smarttv21amp tv voltage stabilizer for led tvsmart tv up to 55 inches  set top box  home theaterseagreen,1401.0,5.0,terrific purchase,thank you very much flipkart,positive,2
sportsoul cotton gym  athletic abdomen supportgrey black,249.0,5.0,worth every penny,this is very powerful product tqq flipcart,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,5.0,just wow,its a beautiful product in all aspects but mic reception seems not that powerful,neutral,1
bluechip 100 copper bl72smarttv32amp tv voltage stabilizer for led tvsmart tv up to 72  inches  set top box  home theater  with 3 years warranty  100 copper black gold,1547.0,4.0,pretty good,nice,positive,2
oneplus bullets wireless z2 with fast charge 30 hrs battery life earphones with mic bluetooth headsetmagico black in the ear,1999.0,4.0,nice product,sound is good battery backup is also good and product quality is also good not getting any charging lock to save from water and product size is bigger in comparison with one plus z so its getting uncomfortable to using long office meeting,positive,2
boat rockerz 510 super extra bass bluetooth headsetmolten orange on the ear,1199.0,5.0,awesome,its really nice headphone its head cushioning is awesome but the ear cushioning is not so good its built design is really cool it is best for pubg lovers,positive,2
inalsa fiesta 650 w food processorwhite,5390.0,5.0,classy product,very good product good quality,positive,2
flipkart smartbuy cfxb15 electric rice cooker15 l white,1499.0,5.0,just wow,it is good really im happy with the product,positive,2
aroma nb119 titanium  48 hours playtime bluetooth neckband bluetooth headsetgreen in the ear,499.0,4.0,very good,good sound quality good bataey back up good for value for money,positive,2
hindware ripple 90 auto clean wall mounted chimneyblack 1350 cmh,14299.0,5.0,super,very smooth delivery and installation amazing product and produces less noise,positive,2
f ferons wireless rechargeable portable premium bass multimedia ffrtg113 9 w bluetooth speakerblack stereo channel,435.0,5.0,worth every penny,vvgood value for money,positive,2
ozarro black genuine leather steel toe safety shoe s4422 steel toe genuine leather safety shoeblack s1,999.0,1.0,absolute rubbish,pore quickly,negative,0
airtel regular digital tv dth remote compatible with sd and hd recording black airtel remote controllerblack,215.0,5.0,perfect product,good product,positive,2
maharaja whiteline 65 l desert air coolerwhite grey rambo grey  ac303,7999.0,5.0,mindblowing purchase,nice product,positive,2
inalsa inox 1000 plus 1000 w food processorblacksilver,11595.0,5.0,best in the market,very nice product,positive,2
sportsoul cotton gym  athletic abdomen supportgrey blue,449.0,5.0,terrific,super,positive,2
google nest mini 2nd gen with google assistant smart speakerchalk,3499.0,5.0,wonderful,good sound quality,positive,2
flipkart smartbuy cfxb18 electric rice cooker18 l white blue,1599.0,5.0,awesome,very good service specially the steel net is very helpful,positive,2
philips hr762700 650 w food processorwhite,4319.0,4.0,good quality product,its good but slicing is not proper,positive,2
crompton 75 l desert air coolerwhite teal acgcdac751,9999.0,1.0,terrible product,waste product,negative,0
bosch sms66gi01i free standing 13 place settings intensive kadhai cleaning no prerinse required dishwasher,44890.0,4.0,wonderful,above average cleaning,neutral,1
